Designator,Mid X,Mid Y,Rotation,Layer
C1,163.0,-68.5,90.0,top
C2,170.75,-68.5,90.0,top
C3,94.5,-72.5,90.0,top
C4,103.0,-72.5,90.0,top
J1,153.5,-53.3125,180.0,top
J2,84.005,-73.46,270.0,top
J3,84.005,-119.0,270.0,top
J4,122.0,-53.505,180.0,top
J5,102.04,-53.445,180.0,top
J6,130.5,-137.8807,180.0,top
J7,84.005,-59.0,270.0,top
Q1,106.75,-125.5,180.0,top
Q2,96.5625,-125.5,180.0,top
R1,123.25,-66.5,270.0,top
R2,106.5,-117.0,90.0,top
R3,96.5,-117.0,270.0,top
R4,115.0,-72.5,90.0,top
R6,115.5,-66.5875,90.0,top
R7,110.0,-66.5,90.0,top
R8,110.0,-72.5,270.0,top
U2,153.0,-70.0,180.0,top
U3,143.42,-95.81816,270.0,top
